Bafoussam,5.4758844,10.4217852
Johnson City,36.3167671,-82.352903
Kettering,39.6895036,-84.1688274
Torcy,50.4830626,2.02302
Flensburg,54.7833021,9.4333264
Roubaix,50.6915893,3.1741734
Kamina,-8.7351826,25.0032201
Palencia,42.0108856,-4.5328735
Kozan,40.3007259,21.7883119
Ilorin,8.4963657,4.5480484
Gaithersburg,39.1399187,-77.1929215
Chelmsford,51.7345329,0.4730532
